text_id,text,label,source_type,created_at,clean_text
red-0124,A public message threatens to publish private customer data from SecureHub tonight.,red,public_post,2026-04-14,a public message threatens to publish private customer data from securehub tonight
green-0056,Users discuss preferred dashboard layouts and reporting exports in SecureHub.,green,forum,2026-01-15,users discuss preferred dashboard layouts and reporting exports in securehub
green-0156,A customer shares a positive onboarding experience with the BrightPanel support team.,green,review,2026-03-07,a customer shares a positive onboarding experience with the brightpanel support team
orange-0103,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,public_post,2026-04-15,users describe repeated password reset messages but no confirmed breach is reported
red-0169,Community moderators warn that attackers are actively bypassing two-factor checks on PayLink.,red,public_post,2026-02-25,community moderators warn that attackers are actively bypassing two factor checks on paylink
red-0168,Community moderators warn that attackers are actively bypassing two-factor checks on CloudDesk.,red,review,2026-02-25,community moderators warn that attackers are actively bypassing two factor checks on clouddesk
red-0080,Several users claim that SecureHub access was compromised after a suspicious reset campaign.,red,review,2026-02-17,several users claim that securehub access was compromised after a suspicious reset campaign
red-0143,Public post mentions leaked BrightPanel credentials and active exploitation attempts.,red,forum,2026-03-03,public post mentions leaked brightpanel credentials and active exploitation attempts
red-0027,A public message threatens to publish private customer data from BrightPanel tonight.,red,support_thread,2026-04-25,a public message threatens to publish private customer data from brightpanel tonight
orange-0029,A community member asks if recent security warnings from Northstar are legitimate.,orange,review,2026-01-27,a community member asks if recent security warnings from northstar are legitimate
red-0109,A public message threatens to publish private customer data from Northstar tonight.,red,support_thread,2026-01-14,a public message threatens to publish private customer data from northstar tonight
green-0195,A public article compares pricing options for several productivity platforms.,green,forum,2026-04-07,a public article compares pricing options for several productivity platforms
orange-0195,Several users report unusual login prompts when trying to access OpenGate.,orange,support_thread,2026-04-23,several users report unusual login prompts when trying to access opengate
green-0119,A public article compares pricing options for several productivity platforms.,green,news,2026-03-16,a public article compares pricing options for several productivity platforms
orange-0070,Several users report unusual login prompts when trying to access BrightPanel.,orange,forum,2026-02-05,several users report unusual login prompts when trying to access brightpanel
green-0166,The release notes describe visual improvements and accessibility fixes.,green,public_post,2026-01-29,the release notes describe visual improvements and accessibility fixes
green-0112,The weekly newsletter highlights upcoming product webinars and customer stories.,green,support_thread,2026-04-30,the weekly newsletter highlights upcoming product webinars and customer stories
orange-0006,A growing thread complains about delayed account verification on PayLink.,orange,news,2026-01-01,a growing thread complains about delayed account verification on paylink
red-0144,Users report confirmed malware links sent through official-looking MarketBoard support messages.,red,news,2026-04-07,users report confirmed malware links sent through official looking marketboard support messages
green-0001,A public article compares pricing options for several productivity platforms.,green,support_thread,2026-03-28,a public article compares pricing options for several productivity platforms
green-0197,The release notes describe visual improvements and accessibility fixes.,green,review,2026-01-31,the release notes describe visual improvements and accessibility fixes
orange-0200,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,news,2026-02-09,users describe repeated password reset messages but no confirmed breach is reported
red-0008,A paste site appears to expose internal tokens connected to OpenGate environments.,red,public_post,2026-02-05,a paste site appears to expose internal tokens connected to opengate environments
orange-0119,A support forum shows a sudden increase in complaints about blocked accounts on DataPilot.,orange,support_thread,2026-03-06,a support forum shows a sudden increase in complaints about blocked accounts on datapilot
red-0160,Community moderators warn that attackers are actively bypassing two-factor checks on MarketBoard.,red,review,2026-04-09,community moderators warn that attackers are actively bypassing two factor checks on marketboard
red-0040,Multiple reports describe unauthorized withdrawals after account takeover on Northstar.,red,support_thread,2026-01-31,multiple reports describe unauthorized withdrawals after account takeover on northstar
green-0059,A blog post explains basic account settings and profile customization.,green,review,2026-03-20,a blog post explains basic account settings and profile customization
orange-0173,A growing thread complains about delayed account verification on MarketBoard.,orange,news,2026-03-01,a growing thread complains about delayed account verification on marketboard
orange-0133,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,support_thread,2026-02-14,users describe repeated password reset messages but no confirmed breach is reported
red-0098,A forum thread shares administrator passwords related to PayLink and asks others to test them.,red,news,2026-04-23,a forum thread shares administrator passwords related to paylink and asks others to test them
green-0003,A customer shares a positive onboarding experience with the BrightPanel support team.,green,public_post,2026-01-21,a customer shares a positive onboarding experience with the brightpanel support team
orange-0115,Posts about CloudDesk show rising frustration after unexplained session timeouts.,orange,news,2026-03-04,posts about clouddesk show rising frustration after unexplained session timeouts
orange-0129,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,review,2026-02-22,a public review mentions unexpected payment declines and asks whether others saw the same issue
orange-0052,A growing thread complains about delayed account verification on OpenGate.,orange,support_thread,2026-04-20,a growing thread complains about delayed account verification on opengate
orange-0180,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,public_post,2026-03-06,a public review mentions unexpected payment declines and asks whether others saw the same issue
red-0034,Several users claim that MarketBoard access was compromised after a suspicious reset campaign.,red,public_post,2026-02-25,several users claim that marketboard access was compromised after a suspicious reset campaign
red-0177,A public message threatens to publish private customer data from Northstar tonight.,red,public_post,2026-03-08,a public message threatens to publish private customer data from northstar tonight
orange-0136,Several users report unusual login prompts when trying to access MarketBoard.,orange,public_post,2026-01-04,several users report unusual login prompts when trying to access marketboard
green-0106,Users discuss preferred dashboard layouts and reporting exports in CloudDesk.,green,forum,2026-01-17,users discuss preferred dashboard layouts and reporting exports in clouddesk
green-0192,A public article compares pricing options for several productivity platforms.,green,forum,2026-01-09,a public article compares pricing options for several productivity platforms
red-0158,Public post mentions leaked PayLink credentials and active exploitation attempts.,red,public_post,2026-01-31,public post mentions leaked paylink credentials and active exploitation attempts
green-0185,The weekly newsletter highlights upcoming product webinars and customer stories.,green,public_post,2026-01-16,the weekly newsletter highlights upcoming product webinars and customer stories
green-0065,A public article compares pricing options for several productivity platforms.,green,public_post,2026-01-26,a public article compares pricing options for several productivity platforms
orange-0030,Some customers mention suspicious emails that look similar to MarketBoard notifications.,orange,news,2026-02-26,some customers mention suspicious emails that look similar to marketboard notifications
red-0026,A forum thread shares administrator passwords related to SecureHub and asks others to test them.,red,support_thread,2026-04-06,a forum thread shares administrator passwords related to securehub and asks others to test them
red-0099,Public post mentions leaked PayLink credentials and active exploitation attempts.,red,review,2026-04-05,public post mentions leaked paylink credentials and active exploitation attempts
red-0196,A forum thread shares administrator passwords related to Northstar and asks others to test them.,red,news,2026-02-02,a forum thread shares administrator passwords related to northstar and asks others to test them
orange-0174,Several users report unusual login prompts when trying to access Northstar.,orange,review,2026-02-17,several users report unusual login prompts when trying to access northstar
orange-0054,Several users report unusual login prompts when trying to access CloudDesk.,orange,review,2026-01-31,several users report unusual login prompts when trying to access clouddesk
red-0185,Users report confirmed malware links sent through official-looking OpenGate support messages.,red,news,2026-03-31,users report confirmed malware links sent through official looking opengate support messages
red-0053,A paste site appears to expose internal tokens connected to SecureHub environments.,red,forum,2026-01-13,a paste site appears to expose internal tokens connected to securehub environments
red-0082,A public message threatens to publish private customer data from Northstar tonight.,red,support_thread,2026-03-27,a public message threatens to publish private customer data from northstar tonight
green-0187,The company announced a new interface update for Northstar with minor usability changes.,green,news,2026-02-08,the company announced a new interface update for northstar with minor usability changes
green-0087,The company announced a new interface update for PayLink with minor usability changes.,green,news,2026-02-26,the company announced a new interface update for paylink with minor usability changes
green-0034,A public article compares pricing options for several productivity platforms.,green,public_post,2026-04-12,a public article compares pricing options for several productivity platforms
orange-0194,A growing thread complains about delayed account verification on MarketBoard.,orange,forum,2026-04-19,a growing thread complains about delayed account verification on marketboard
orange-0091,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,news,2026-02-19,users describe repeated password reset messages but no confirmed breach is reported
green-0111,A blog post explains basic account settings and profile customization.,green,support_thread,2026-03-19,a blog post explains basic account settings and profile customization
orange-0033,Several users report unusual login prompts when trying to access BrightPanel.,orange,public_post,2026-01-12,several users report unusual login prompts when trying to access brightpanel
green-0194,A public article compares pricing options for several productivity platforms.,green,news,2026-02-21,a public article compares pricing options for several productivity platforms
red-0024,Users report confirmed malware links sent through official-looking SecureHub support messages.,red,news,2026-03-25,users report confirmed malware links sent through official looking securehub support messages
red-0036,A forum thread shares administrator passwords related to CloudDesk and asks others to test them.,red,review,2026-04-22,a forum thread shares administrator passwords related to clouddesk and asks others to test them
green-0163,A public article compares pricing options for several productivity platforms.,green,forum,2026-03-27,a public article compares pricing options for several productivity platforms
orange-0022,Posts about OpenGate show rising frustration after unexplained session timeouts.,orange,forum,2026-02-11,posts about opengate show rising frustration after unexplained session timeouts
red-0049,Public post mentions leaked SecureHub credentials and active exploitation attempts.,red,forum,2026-01-09,public post mentions leaked securehub credentials and active exploitation attempts
green-0154,Users discuss preferred dashboard layouts and reporting exports in PayLink.,green,review,2026-01-02,users discuss preferred dashboard layouts and reporting exports in paylink
green-0069,A customer shares a positive onboarding experience with the DataPilot support team.,green,news,2026-03-09,a customer shares a positive onboarding experience with the datapilot support team
green-0067,The release notes describe visual improvements and accessibility fixes.,green,support_thread,2026-04-13,the release notes describe visual improvements and accessibility fixes
green-0072,The release notes describe visual improvements and accessibility fixes.,green,support_thread,2026-04-23,the release notes describe visual improvements and accessibility fixes
orange-0040,A support forum shows a sudden increase in complaints about blocked accounts on MarketBoard.,orange,support_thread,2026-04-18,a support forum shows a sudden increase in complaints about blocked accounts on marketboard
orange-0182,A community member asks if recent security warnings from PayLink are legitimate.,orange,review,2026-02-16,a community member asks if recent security warnings from paylink are legitimate
orange-0015,A support forum shows a sudden increase in complaints about blocked accounts on DataPilot.,orange,forum,2026-02-26,a support forum shows a sudden increase in complaints about blocked accounts on datapilot
orange-0096,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,review,2026-03-29,a public review mentions unexpected payment declines and asks whether others saw the same issue
green-0012,The release notes describe visual improvements and accessibility fixes.,green,review,2026-01-04,the release notes describe visual improvements and accessibility fixes
green-0155,Users discuss preferred dashboard layouts and reporting exports in SecureHub.,green,support_thread,2026-01-23,users discuss preferred dashboard layouts and reporting exports in securehub
green-0141,A user asks how to change notification settings in the PayLink mobile app.,green,support_thread,2026-01-01,a user asks how to change notification settings in the paylink mobile app
orange-0057,Several users report unusual login prompts when trying to access Northstar.,orange,forum,2026-02-11,several users report unusual login prompts when trying to access northstar
green-0013,A user asks how to change notification settings in the OpenGate mobile app.,green,public_post,2026-04-12,a user asks how to change notification settings in the opengate mobile app
red-0041,Several users claim that CloudDesk access was compromised after a suspicious reset campaign.,red,news,2026-04-04,several users claim that clouddesk access was compromised after a suspicious reset campaign
red-0181,Several users claim that MarketBoard access was compromised after a suspicious reset campaign.,red,news,2026-01-29,several users claim that marketboard access was compromised after a suspicious reset campaign
green-0011,The release notes describe visual improvements and accessibility fixes.,green,forum,2026-02-19,the release notes describe visual improvements and accessibility fixes
green-0006,A user asks how to change notification settings in the MarketBoard mobile app.,green,public_post,2026-01-11,a user asks how to change notification settings in the marketboard mobile app
orange-0055,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,forum,2026-02-25,users describe repeated password reset messages but no confirmed breach is reported
red-0061,Public post mentions leaked CloudDesk credentials and active exploitation attempts.,red,public_post,2026-04-29,public post mentions leaked clouddesk credentials and active exploitation attempts
green-0024,The release notes describe visual improvements and accessibility fixes.,green,news,2026-03-15,the release notes describe visual improvements and accessibility fixes
orange-0152,A support forum shows a sudden increase in complaints about blocked accounts on OpenGate.,orange,forum,2026-01-16,a support forum shows a sudden increase in complaints about blocked accounts on opengate
red-0117,A forum thread shares administrator passwords related to SecureHub and asks others to test them.,red,news,2026-02-23,a forum thread shares administrator passwords related to securehub and asks others to test them
orange-0093,Posts about CloudDesk show rising frustration after unexplained session timeouts.,orange,news,2026-04-17,posts about clouddesk show rising frustration after unexplained session timeouts
orange-0121,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,public_post,2026-02-27,users describe repeated password reset messages but no confirmed breach is reported
red-0172,Several users claim that MarketBoard access was compromised after a suspicious reset campaign.,red,news,2026-04-23,several users claim that marketboard access was compromised after a suspicious reset campaign
green-0061,A user asks how to change notification settings in the DataPilot mobile app.,green,news,2026-01-23,a user asks how to change notification settings in the datapilot mobile app
green-0049,A user asks how to change notification settings in the BrightPanel mobile app.,green,support_thread,2026-02-16,a user asks how to change notification settings in the brightpanel mobile app
green-0016,The company announced a new interface update for CloudDesk with minor usability changes.,green,review,2026-01-03,the company announced a new interface update for clouddesk with minor usability changes
orange-0172,A support forum shows a sudden increase in complaints about blocked accounts on Northstar.,orange,support_thread,2026-02-15,a support forum shows a sudden increase in complaints about blocked accounts on northstar
green-0060,A blog post explains basic account settings and profile customization.,green,public_post,2026-01-16,a blog post explains basic account settings and profile customization
red-0190,A public message threatens to publish private customer data from SecureHub tonight.,red,public_post,2026-02-16,a public message threatens to publish private customer data from securehub tonight
orange-0175,A growing thread complains about delayed account verification on CloudDesk.,orange,support_thread,2026-03-20,a growing thread complains about delayed account verification on clouddesk
red-0065,A public message threatens to publish private customer data from DataPilot tonight.,red,news,2026-02-06,a public message threatens to publish private customer data from datapilot tonight
red-0173,Multiple reports describe unauthorized withdrawals after account takeover on DataPilot.,red,support_thread,2026-03-14,multiple reports describe unauthorized withdrawals after account takeover on datapilot
red-0148,A forum thread shares administrator passwords related to DataPilot and asks others to test them.,red,public_post,2026-04-28,a forum thread shares administrator passwords related to datapilot and asks others to test them
green-0199,Users discuss preferred dashboard layouts and reporting exports in Northstar.,green,support_thread,2026-03-13,users discuss preferred dashboard layouts and reporting exports in northstar
orange-0117,Some customers mention suspicious emails that look similar to CloudDesk notifications.,orange,review,2026-01-17,some customers mention suspicious emails that look similar to clouddesk notifications
red-0106,A public message threatens to publish private customer data from OpenGate tonight.,red,support_thread,2026-03-24,a public message threatens to publish private customer data from opengate tonight
red-0059,A public message threatens to publish private customer data from DataPilot tonight.,red,forum,2026-02-01,a public message threatens to publish private customer data from datapilot tonight
orange-0102,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,support_thread,2026-04-17,users describe repeated password reset messages but no confirmed breach is reported
green-0020,A public article compares pricing options for several productivity platforms.,green,support_thread,2026-03-23,a public article compares pricing options for several productivity platforms
green-0043,A user asks how to change notification settings in the BrightPanel mobile app.,green,public_post,2026-03-19,a user asks how to change notification settings in the brightpanel mobile app
green-0147,The company announced a new interface update for BrightPanel with minor usability changes.,green,news,2026-04-11,the company announced a new interface update for brightpanel with minor usability changes
green-0115,A blog post explains basic account settings and profile customization.,green,forum,2026-03-02,a blog post explains basic account settings and profile customization
orange-0138,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,public_post,2026-01-24,a public review mentions unexpected payment declines and asks whether others saw the same issue
red-0010,A paste site appears to expose internal tokens connected to CloudDesk environments.,red,review,2026-02-15,a paste site appears to expose internal tokens connected to clouddesk environments
orange-0196,Some customers mention suspicious emails that look similar to BrightPanel notifications.,orange,public_post,2026-01-20,some customers mention suspicious emails that look similar to brightpanel notifications
red-0123,Users report confirmed malware links sent through official-looking CloudDesk support messages.,red,public_post,2026-04-15,users report confirmed malware links sent through official looking clouddesk support messages
orange-0108,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,review,2026-03-17,a public review mentions unexpected payment declines and asks whether others saw the same issue
orange-0177,Several users report unusual login prompts when trying to access DataPilot.,orange,support_thread,2026-04-27,several users report unusual login prompts when trying to access datapilot
red-0112,Multiple reports describe unauthorized withdrawals after account takeover on MarketBoard.,red,news,2026-01-06,multiple reports describe unauthorized withdrawals after account takeover on marketboard
red-0058,Community moderators warn that attackers are actively bypassing two-factor checks on PayLink.,red,public_post,2026-02-24,community moderators warn that attackers are actively bypassing two factor checks on paylink
red-0037,Multiple reports describe unauthorized withdrawals after account takeover on PayLink.,red,public_post,2026-02-17,multiple reports describe unauthorized withdrawals after account takeover on paylink
red-0145,A paste site appears to expose internal tokens connected to SecureHub environments.,red,public_post,2026-03-04,a paste site appears to expose internal tokens connected to securehub environments
orange-0083,Several users report unusual login prompts when trying to access MarketBoard.,orange,forum,2026-03-10,several users report unusual login prompts when trying to access marketboard
orange-0066,A support forum shows a sudden increase in complaints about blocked accounts on BrightPanel.,orange,review,2026-03-30,a support forum shows a sudden increase in complaints about blocked accounts on brightpanel
red-0161,A forum thread shares administrator passwords related to CloudDesk and asks others to test them.,red,public_post,2026-04-10,a forum thread shares administrator passwords related to clouddesk and asks others to test them
orange-0100,Several users report unusual login prompts when trying to access Northstar.,orange,review,2026-04-11,several users report unusual login prompts when trying to access northstar
orange-0027,Several users report unusual login prompts when trying to access DataPilot.,orange,forum,2026-02-22,several users report unusual login prompts when trying to access datapilot
red-0075,A paste site appears to expose internal tokens connected to PayLink environments.,red,review,2026-03-27,a paste site appears to expose internal tokens connected to paylink environments
red-0074,Multiple reports describe unauthorized withdrawals after account takeover on OpenGate.,red,review,2026-01-31,multiple reports describe unauthorized withdrawals after account takeover on opengate
orange-0090,A support forum shows a sudden increase in complaints about blocked accounts on DataPilot.,orange,forum,2026-01-15,a support forum shows a sudden increase in complaints about blocked accounts on datapilot
orange-0089,A growing thread complains about delayed account verification on PayLink.,orange,forum,2026-01-06,a growing thread complains about delayed account verification on paylink
orange-0128,Some customers mention suspicious emails that look similar to Northstar notifications.,orange,support_thread,2026-03-17,some customers mention suspicious emails that look similar to northstar notifications
red-0078,Several users claim that CloudDesk access was compromised after a suspicious reset campaign.,red,public_post,2026-03-10,several users claim that clouddesk access was compromised after a suspicious reset campaign
red-0012,Several users claim that BrightPanel access was compromised after a suspicious reset campaign.,red,support_thread,2026-01-11,several users claim that brightpanel access was compromised after a suspicious reset campaign
green-0164,A blog post explains basic account settings and profile customization.,green,news,2026-01-21,a blog post explains basic account settings and profile customization
red-0094,A public message threatens to publish private customer data from OpenGate tonight.,red,forum,2026-04-26,a public message threatens to publish private customer data from opengate tonight
red-0070,Several users claim that PayLink access was compromised after a suspicious reset campaign.,red,support_thread,2026-01-09,several users claim that paylink access was compromised after a suspicious reset campaign
red-0193,A public message threatens to publish private customer data from PayLink tonight.,red,news,2026-03-23,a public message threatens to publish private customer data from paylink tonight
orange-0146,Posts about MarketBoard show rising frustration after unexplained session timeouts.,orange,support_thread,2026-01-28,posts about marketboard show rising frustration after unexplained session timeouts
orange-0127,A growing thread complains about delayed account verification on BrightPanel.,orange,review,2026-01-13,a growing thread complains about delayed account verification on brightpanel
green-0145,A user asks how to change notification settings in the SecureHub mobile app.,green,forum,2026-03-10,a user asks how to change notification settings in the securehub mobile app
green-0084,A customer shares a positive onboarding experience with the Northstar support team.,green,support_thread,2026-03-05,a customer shares a positive onboarding experience with the northstar support team
green-0095,The release notes describe visual improvements and accessibility fixes.,green,public_post,2026-01-25,the release notes describe visual improvements and accessibility fixes
green-0042,Users discuss preferred dashboard layouts and reporting exports in CloudDesk.,green,news,2026-04-04,users discuss preferred dashboard layouts and reporting exports in clouddesk
green-0031,The release notes describe visual improvements and accessibility fixes.,green,news,2026-04-17,the release notes describe visual improvements and accessibility fixes
green-0078,Users discuss preferred dashboard layouts and reporting exports in PayLink.,green,review,2026-03-22,users discuss preferred dashboard layouts and reporting exports in paylink
orange-0080,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,forum,2026-03-01,a public review mentions unexpected payment declines and asks whether others saw the same issue
orange-0071,Several users report unusual login prompts when trying to access DataPilot.,orange,review,2026-04-17,several users report unusual login prompts when trying to access datapilot
green-0130,Users discuss preferred dashboard layouts and reporting exports in SecureHub.,green,news,2026-03-30,users discuss preferred dashboard layouts and reporting exports in securehub
red-0121,Community moderators warn that attackers are actively bypassing two-factor checks on SecureHub.,red,news,2026-03-07,community moderators warn that attackers are actively bypassing two factor checks on securehub
orange-0170,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,news,2026-01-20,a public review mentions unexpected payment declines and asks whether others saw the same issue
green-0105,A user asks how to change notification settings in the BrightPanel mobile app.,green,news,2026-03-06,a user asks how to change notification settings in the brightpanel mobile app
red-0093,A forum thread shares administrator passwords related to BrightPanel and asks others to test them.,red,forum,2026-01-17,a forum thread shares administrator passwords related to brightpanel and asks others to test them
green-0177,A blog post explains basic account settings and profile customization.,green,forum,2026-04-03,a blog post explains basic account settings and profile customization
green-0082,A user asks how to change notification settings in the Northstar mobile app.,green,support_thread,2026-03-24,a user asks how to change notification settings in the northstar mobile app
green-0058,A user asks how to change notification settings in the MarketBoard mobile app.,green,review,2026-04-10,a user asks how to change notification settings in the marketboard mobile app
green-0127,The release notes describe visual improvements and accessibility fixes.,green,review,2026-03-28,the release notes describe visual improvements and accessibility fixes
orange-0098,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,news,2026-04-19,users describe repeated password reset messages but no confirmed breach is reported
orange-0064,A community member asks if recent security warnings from MarketBoard are legitimate.,orange,support_thread,2026-03-28,a community member asks if recent security warnings from marketboard are legitimate
green-0028,The company announced a new interface update for OpenGate with minor usability changes.,green,forum,2026-04-11,the company announced a new interface update for opengate with minor usability changes
green-0142,The weekly newsletter highlights upcoming product webinars and customer stories.,green,news,2026-03-25,the weekly newsletter highlights upcoming product webinars and customer stories
orange-0023,Some customers mention suspicious emails that look similar to OpenGate notifications.,orange,news,2026-02-22,some customers mention suspicious emails that look similar to opengate notifications
red-0155,Community moderators warn that attackers are actively bypassing two-factor checks on Northstar.,red,support_thread,2026-04-06,community moderators warn that attackers are actively bypassing two factor checks on northstar
green-0100,A blog post explains basic account settings and profile customization.,green,support_thread,2026-02-06,a blog post explains basic account settings and profile customization
orange-0156,Posts about Northstar show rising frustration after unexplained session timeouts.,orange,forum,2026-02-28,posts about northstar show rising frustration after unexplained session timeouts
green-0019,A public article compares pricing options for several productivity platforms.,green,forum,2026-01-16,a public article compares pricing options for several productivity platforms
red-0104,Multiple reports describe unauthorized withdrawals after account takeover on Northstar.,red,public_post,2026-03-26,multiple reports describe unauthorized withdrawals after account takeover on northstar
orange-0069,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,review,2026-03-31,a public review mentions unexpected payment declines and asks whether others saw the same issue
orange-0043,Posts about DataPilot show rising frustration after unexplained session timeouts.,orange,review,2026-04-30,posts about datapilot show rising frustration after unexplained session timeouts
red-0141,Community moderators warn that attackers are actively bypassing two-factor checks on BrightPanel.,red,public_post,2026-01-08,community moderators warn that attackers are actively bypassing two factor checks on brightpanel
orange-0165,"Users describe repeated password reset messages, but no confirmed breach is reported.",orange,public_post,2026-02-14,users describe repeated password reset messages but no confirmed breach is reported
orange-0062,Some customers mention suspicious emails that look similar to SecureHub notifications.,orange,review,2026-03-01,some customers mention suspicious emails that look similar to securehub notifications
red-0157,Public post mentions leaked Northstar credentials and active exploitation attempts.,red,public_post,2026-02-01,public post mentions leaked northstar credentials and active exploitation attempts
red-0195,Community moderators warn that attackers are actively bypassing two-factor checks on DataPilot.,red,review,2026-02-26,community moderators warn that attackers are actively bypassing two factor checks on datapilot
red-0084,A public message threatens to publish private customer data from CloudDesk tonight.,red,forum,2026-04-24,a public message threatens to publish private customer data from clouddesk tonight
red-0125,A forum thread shares administrator passwords related to Northstar and asks others to test them.,red,public_post,2026-01-06,a forum thread shares administrator passwords related to northstar and asks others to test them
green-0002,A blog post explains basic account settings and profile customization.,green,review,2026-04-09,a blog post explains basic account settings and profile customization
red-0001,Several users claim that Northstar access was compromised after a suspicious reset campaign.,red,review,2026-04-05,several users claim that northstar access was compromised after a suspicious reset campaign
green-0171,A user asks how to change notification settings in the CloudDesk mobile app.,green,support_thread,2026-01-08,a user asks how to change notification settings in the clouddesk mobile app
orange-0162,Posts about CloudDesk show rising frustration after unexplained session timeouts.,orange,review,2026-02-20,posts about clouddesk show rising frustration after unexplained session timeouts
green-0008,The weekly newsletter highlights upcoming product webinars and customer stories.,green,public_post,2026-01-12,the weekly newsletter highlights upcoming product webinars and customer stories
red-0118,A forum thread shares administrator passwords related to MarketBoard and asks others to test them.,red,support_thread,2026-02-21,a forum thread shares administrator passwords related to marketboard and asks others to test them
green-0066,A public article compares pricing options for several productivity platforms.,green,review,2026-01-04,a public article compares pricing options for several productivity platforms
red-0136,A public message threatens to publish private customer data from DataPilot tonight.,red,review,2026-01-10,a public message threatens to publish private customer data from datapilot tonight
orange-0163,A public review mentions unexpected payment declines and asks whether others saw the same issue.,orange,public_post,2026-02-12,a public review mentions unexpected payment declines and asks whether others saw the same issue
green-0160,A public article compares pricing options for several productivity platforms.,green,review,2026-04-07,a public article compares pricing options for several productivity platforms
green-0090,The release notes describe visual improvements and accessibility fixes.,green,review,2026-01-17,the release notes describe visual improvements and accessibility fixes
orange-0063,A community member asks if recent security warnings from MarketBoard are legitimate.,orange,forum,2026-03-27,a community member asks if recent security warnings from marketboard are legitimate
red-0191,A public message threatens to publish private customer data from Northstar tonight.,red,support_thread,2026-04-01,a public message threatens to publish private customer data from northstar tonight
red-0198,Several users claim that Northstar access was compromised after a suspicious reset campaign.,red,public_post,2026-01-20,several users claim that northstar access was compromised after a suspicious reset campaign
orange-0035,A community member asks if recent security warnings from MarketBoard are legitimate.,orange,review,2026-03-07,a community member asks if recent security warnings from marketboard are legitimate
red-0129,Several users claim that BrightPanel access was compromised after a suspicious reset campaign.,red,public_post,2026-01-29,several users claim that brightpanel access was compromised after a suspicious reset campaign
orange-0120,Posts about CloudDesk show rising frustration after unexplained session timeouts.,orange,forum,2026-04-12,posts about clouddesk show rising frustration after unexplained session timeouts
green-0149,The company announced a new interface update for MarketBoard with minor usability changes.,green,support_thread,2026-03-14,the company announced a new interface update for marketboard with minor usability changes
red-0003,Several users claim that BrightPanel access was compromised after a suspicious reset campaign.,red,forum,2026-01-05,several users claim that brightpanel access was compromised after a suspicious reset campaign
green-0102,Users discuss preferred dashboard layouts and reporting exports in OpenGate.,green,news,2026-04-08,users discuss preferred dashboard layouts and reporting exports in opengate
green-0196,The weekly newsletter highlights upcoming product webinars and customer stories.,green,support_thread,2026-01-30,the weekly newsletter highlights upcoming product webinars and customer stories
